test instance:16, number of pickup points: 40, number of delivery points: 100, number of orders: 200, number of riders: 100
nodes:
[no:1, type:'pickup point', x:0.834, y:1.197]
[no:68, type:'delivery point', x:0.943, y:0.885]
[no:69, type:'delivery point', x:5.247, y:2.099]
[no:70, type:'delivery point', x:6.161, y:8.148]
[no:71, type:'delivery point', x:8.276, y:1.495]
[no:72, type:'delivery point', x:1.608, y:0.384]
[no:73, type:'delivery point', x:5.385, y:7.466]
[no:74, type:'delivery point', x:0.886, y:5.283]
[no:75, type:'delivery point', x:0.879, y:4.528]
[no:76, type:'delivery point', x:7.153, y:0.496]
[no:77, type:'delivery point', x:1.068, y:0.901]
[no:78, type:'delivery point', x:1.702, y:5.846]
[no:79, type:'delivery point', x:3.948, y:1.001]
[no:80, type:'delivery point', x:4.319, y:4.857]
[no:81, type:'delivery point', x:4.972, y:3.416]
[no:82, type:'delivery point', x:8.92, y:3.05]
[no:83, type:'delivery point', x:9.053, y:7.977]
[no:84, type:'delivery point', x:5.639, y:0.32]
[no:85, type:'delivery point', x:6.693, y:1.844]
[no:86, type:'delivery point', x:1.004, y:0.035]
[no:87, type:'delivery point', x:7.841, y:1.205]
[no:88, type:'delivery point', x:1.155, y:7.973]
[no:89, type:'delivery point', x:0.468, y:2.143]
[no:90, type:'delivery point', x:9.142, y:0.148]
[no:91, type:'delivery point', x:2.153, y:1.475]
[no:92, type:'delivery point', x:6.251, y:9.719]
[no:93, type:'delivery point', x:2.008, y:6.009]
[no:94, type:'delivery point', x:9.068, y:9.682]
[no:95, type:'delivery point', x:7.189, y:6.5]
[no:96, type:'delivery point', x:8.483, y:9.852]
[no:97, type:'delivery point', x:2.914, y:0.852]
[no:98, type:'delivery point', x:4.236, y:3.758]
[no:99, type:'delivery point', x:7.428, y:9.614]
[no:100, type:'delivery point', x:8.742, y:3.521]
[no:101, type:'delivery point', x:3.67, y:5.656]
[no:102, type:'delivery point', x:6.93, y:8.488]
[no:103, type:'delivery point', x:7.548, y:9.066]
[no:104, type:'delivery point', x:4.602, y:6.517]
[no:105, type:'delivery point', x:8.66, y:7.778]
[no:106, type:'delivery point', x:6.443, y:5.104]
[no:107, type:'delivery point', x:3.055, y:4.203]
[no:108, type:'delivery point', x:6.213, y:3.286]
[no:109, type:'delivery point', x:9.223, y:8.225]
[no:110, type:'delivery point', x:5.894, y:4.21]
[no:111, type:'delivery point', x:7.861, y:7.343]
[no:112, type:'delivery point', x:7.582, y:2.582]
[no:113, type:'delivery point', x:3.185, y:5.427]
[no:114, type:'delivery point', x:1.81, y:0.821]
[no:115, type:'delivery point', x:8.532, y:2.6]
[no:116, type:'delivery point', x:8.597, y:2.681]
[no:117, type:'delivery point', x:1.874, y:0.078]
[no:118, type:'delivery point', x:3.059, y:3.346]
[no:119, type:'delivery point', x:7.431, y:5.482]
[no:120, type:'delivery point', x:5.646, y:0.557]
[no:121, type:'delivery point', x:8.08, y:6.052]
[no:122, type:'delivery point', x:8.239, y:2.196]
[no:123, type:'delivery point', x:9.485, y:9.524]
[no:124, type:'delivery point', x:1.183, y:1.952]
[no:125, type:'delivery point', x:0.937, y:4.959]
[no:126, type:'delivery point', x:3.134, y:6.16]
[no:127, type:'delivery point', x:9.809, y:8.767]
[no:128, type:'delivery point', x:5.086, y:1.738]
[no:129, type:'delivery point', x:6.205, y:4.356]
[no:130, type:'delivery point', x:2.319, y:7.237]
[no:131, type:'delivery point', x:1.891, y:7.348]
[no:132, type:'delivery point', x:3.175, y:6.495]
[no:133, type:'delivery point', x:2.936, y:2.181]
[no:134, type:'delivery point', x:1.541, y:7.063]
[no:135, type:'delivery point', x:8.601, y:0.02]
[no:136, type:'delivery point', x:0.718, y:3.713]
[no:137, type:'delivery point', x:9.99, y:2.415]
[no:138, type:'delivery point', x:9.95, y:0.615]
[no:139, type:'delivery point', x:0.712, y:9.859]
[no:140, type:'delivery point', x:1.299, y:4.537]
orders: 
[no:1, pickup point: 35, delivery point: 42, distance: 5.674, earliest pickup time: 0.0, latest pick time: 0.2, pickup time: 0.17, earliest delivery time: 1.88, latest delivery time: 2.13, delivery time: 0.12]
[no:2, pickup point: 35, delivery point: 47, distance: 7.638, earliest pickup time: 0.01, latest pick time: 0.16, pickup time: 0.16, earliest delivery time: 2.36, latest delivery time: 2.55, delivery time: 0.1]
[no:3, pickup point: 16, delivery point: 92, distance: 6.402, earliest pickup time: 0.01, latest pick time: 0.17, pickup time: 0.13, earliest delivery time: 2.02, latest delivery time: 2.21, delivery time: 0.1]
[no:4, pickup point: 14, delivery point: 127, distance: 8.6, earliest pickup time: 0.01, latest pick time: 0.24, pickup time: 0.11, earliest delivery time: 2.64, latest delivery time: 2.83, delivery time: 0.17]
[no:5, pickup point: 28, delivery point: 131, distance: 7.004, earliest pickup time: 0.04, latest pick time: 0.22, pickup time: 0.2, earliest delivery time: 2.28, latest delivery time: 2.43, delivery time: 0.19]
[no:6, pickup point: 37, delivery point: 64, distance: 9.665, earliest pickup time: 0.04, latest pick time: 0.26, pickup time: 0.12, earliest delivery time: 2.96, latest delivery time: 3.17, delivery time: 0.13]
[no:7, pickup point: 1, delivery point: 104, distance: 5.859, earliest pickup time: 0.04, latest pick time: 0.29, pickup time: 0.11, earliest delivery time: 1.96, latest delivery time: 2.07, delivery time: 0.12]
[no:8, pickup point: 29, delivery point: 49, distance: 7.585, earliest pickup time: 0.05, latest pick time: 0.27, pickup time: 0.15, earliest delivery time: 2.45, latest delivery time: 2.61, delivery time: 0.19]
[no:9, pickup point: 6, delivery point: 87, distance: 3.072, earliest pickup time: 0.05, latest pick time: 0.27, pickup time: 0.11, earliest delivery time: 1.2, latest delivery time: 1.34, delivery time: 0.1]
[no:10, pickup point: 35, delivery point: 72, distance: 1.991, earliest pickup time: 0.06, latest pick time: 0.3, pickup time: 0.13, earliest delivery time: 0.96, latest delivery time: 1.13, delivery time: 0.17]
[no:11, pickup point: 24, delivery point: 122, distance: 1.776, earliest pickup time: 0.07, latest pick time: 0.28, pickup time: 0.18, earliest delivery time: 0.94, latest delivery time: 1.1, delivery time: 0.18]
[no:12, pickup point: 10, delivery point: 122, distance: 1.363, earliest pickup time: 0.07, latest pick time: 0.29, pickup time: 0.15, earliest delivery time: 0.8, latest delivery time: 1.04, delivery time: 0.1]
[no:13, pickup point: 1, delivery point: 50, distance: 6.789, earliest pickup time: 0.07, latest pick time: 0.31, pickup time: 0.1, earliest delivery time: 2.23, latest delivery time: 2.45, delivery time: 0.15]
[no:14, pickup point: 12, delivery point: 48, distance: 7.71, earliest pickup time: 0.07, latest pick time: 0.31, pickup time: 0.15, earliest delivery time: 2.51, latest delivery time: 2.7, delivery time: 0.15]
[no:15, pickup point: 22, delivery point: 43, distance: 4.349, earliest pickup time: 0.08, latest pick time: 0.23, pickup time: 0.15, earliest delivery time: 1.54, latest delivery time: 1.75, delivery time: 0.19]
[no:16, pickup point: 19, delivery point: 55, distance: 3.063, earliest pickup time: 0.08, latest pick time: 0.27, pickup time: 0.14, earliest delivery time: 1.23, latest delivery time: 1.42, delivery time: 0.18]
[no:17, pickup point: 35, delivery point: 69, distance: 2.749, earliest pickup time: 0.08, latest pick time: 0.31, pickup time: 0.18, earliest delivery time: 1.23, latest delivery time: 1.41, delivery time: 0.15]
[no:18, pickup point: 2, delivery point: 77, distance: 7.998, earliest pickup time: 0.08, latest pick time: 0.31, pickup time: 0.11, earliest delivery time: 2.56, latest delivery time: 2.69, delivery time: 0.18]
[no:19, pickup point: 18, delivery point: 89, distance: 3.798, earliest pickup time: 0.09, latest pick time: 0.34, pickup time: 0.18, earliest delivery time: 1.53, latest delivery time: 1.7, delivery time: 0.12]
[no:20, pickup point: 12, delivery point: 84, distance: 3.937, earliest pickup time: 0.1, latest pick time: 0.25, pickup time: 0.14, earliest delivery time: 1.44, latest delivery time: 1.57, delivery time: 0.13]
[no:21, pickup point: 37, delivery point: 75, distance: 5.699, earliest pickup time: 0.1, latest pick time: 0.33, pickup time: 0.18, earliest delivery time: 2.03, latest delivery time: 2.23, delivery time: 0.11]
[no:22, pickup point: 37, delivery point: 47, distance: 10.171, earliest pickup time: 0.12, latest pick time: 0.31, pickup time: 0.2, earliest delivery time: 3.22, latest delivery time: 3.33, delivery time: 0.15]
[no:23, pickup point: 31, delivery point: 104, distance: 3.791, earliest pickup time: 0.12, latest pick time: 0.33, pickup time: 0.14, earliest delivery time: 1.49, latest delivery time: 1.68, delivery time: 0.15]
[no:24, pickup point: 39, delivery point: 78, distance: 3.021, earliest pickup time: 0.14, latest pick time: 0.24, pickup time: 0.15, earliest delivery time: 1.2, latest delivery time: 1.43, delivery time: 0.14]
[no:25, pickup point: 37, delivery point: 130, distance: 7.351, earliest pickup time: 0.14, latest pick time: 0.25, pickup time: 0.12, earliest delivery time: 2.33, latest delivery time: 2.58, delivery time: 0.16]
[no:26, pickup point: 13, delivery point: 125, distance: 4.45, earliest pickup time: 0.14, latest pick time: 0.34, pickup time: 0.13, earliest delivery time: 1.66, latest delivery time: 1.78, delivery time: 0.11]
[no:27, pickup point: 2, delivery point: 94, distance: 8.975, earliest pickup time: 0.14, latest pick time: 0.36, pickup time: 0.12, earliest delivery time: 2.88, latest delivery time: 3.09, delivery time: 0.18]
[no:28, pickup point: 25, delivery point: 79, distance: 5.742, earliest pickup time: 0.14, latest pick time: 0.38, pickup time: 0.11, earliest delivery time: 2.02, latest delivery time: 2.16, delivery time: 0.15]
[no:29, pickup point: 16, delivery point: 59, distance: 5.851, earliest pickup time: 0.15, latest pick time: 0.27, pickup time: 0.12, earliest delivery time: 1.95, latest delivery time: 2.07, delivery time: 0.18]
[no:30, pickup point: 34, delivery point: 137, distance: 2.393, earliest pickup time: 0.15, latest pick time: 0.34, pickup time: 0.16, earliest delivery time: 1.13, latest delivery time: 1.3, delivery time: 0.13]
[no:31, pickup point: 3, delivery point: 69, distance: 5.001, earliest pickup time: 0.16, latest pick time: 0.32, pickup time: 0.12, earliest delivery time: 1.78, latest delivery time: 1.9, delivery time: 0.2]
[no:32, pickup point: 15, delivery point: 76, distance: 9.314, earliest pickup time: 0.17, latest pick time: 0.31, pickup time: 0.13, earliest delivery time: 2.92, latest delivery time: 3.1, delivery time: 0.12]
[no:33, pickup point: 35, delivery point: 104, distance: 4.834, earliest pickup time: 0.17, latest pick time: 0.34, pickup time: 0.11, earliest delivery time: 1.74, latest delivery time: 1.94, delivery time: 0.11]
[no:34, pickup point: 10, delivery point: 132, distance: 5.305, earliest pickup time: 0.17, latest pick time: 0.36, pickup time: 0.11, earliest delivery time: 1.88, latest delivery time: 2.07, delivery time: 0.11]
[no:35, pickup point: 19, delivery point: 105, distance: 6.765, earliest pickup time: 0.18, latest pick time: 0.32, pickup time: 0.13, earliest delivery time: 2.25, latest delivery time: 2.43, delivery time: 0.17]
[no:36, pickup point: 29, delivery point: 41, distance: 6.456, earliest pickup time: 0.18, latest pick time: 0.34, pickup time: 0.14, earliest delivery time: 2.2, latest delivery time: 2.32, delivery time: 0.16]
[no:37, pickup point: 20, delivery point: 83, distance: 2.055, earliest pickup time: 0.18, latest pick time: 0.42, pickup time: 0.14, earliest delivery time: 1.1, latest delivery time: 1.32, delivery time: 0.16]
[no:38, pickup point: 28, delivery point: 59, distance: 8.278, earliest pickup time: 0.19, latest pick time: 0.33, pickup time: 0.11, earliest delivery time: 2.65, latest delivery time: 2.84, delivery time: 0.17]
[no:39, pickup point: 10, delivery point: 75, distance: 6.4, earliest pickup time: 0.19, latest pick time: 0.4, pickup time: 0.17, earliest delivery time: 2.28, latest delivery time: 2.44, delivery time: 0.12]
[no:40, pickup point: 12, delivery point: 84, distance: 3.937, earliest pickup time: 0.2, latest pick time: 0.31, pickup time: 0.14, earliest delivery time: 1.5, latest delivery time: 1.62, delivery time: 0.19]
[no:41, pickup point: 19, delivery point: 59, distance: 7.261, earliest pickup time: 0.2, latest pick time: 0.33, pickup time: 0.16, earliest delivery time: 2.42, latest delivery time: 2.58, delivery time: 0.18]
[no:42, pickup point: 24, delivery point: 130, distance: 6.662, earliest pickup time: 0.2, latest pick time: 0.4, pickup time: 0.15, earliest delivery time: 2.33, latest delivery time: 2.56, delivery time: 0.12]
[no:43, pickup point: 24, delivery point: 129, distance: 2.344, earliest pickup time: 0.21, latest pick time: 0.37, pickup time: 0.13, earliest delivery time: 1.13, latest delivery time: 1.33, delivery time: 0.14]
[no:44, pickup point: 22, delivery point: 50, distance: 4.22, earliest pickup time: 0.21, latest pick time: 0.4, pickup time: 0.11, earliest delivery time: 1.64, latest delivery time: 1.86, delivery time: 0.11]
[no:45, pickup point: 34, delivery point: 130, distance: 6.773, earliest pickup time: 0.21, latest pick time: 0.43, pickup time: 0.18, earliest delivery time: 2.41, latest delivery time: 2.53, delivery time: 0.15]
[no:46, pickup point: 39, delivery point: 133, distance: 1.292, earliest pickup time: 0.22, latest pick time: 0.35, pickup time: 0.12, earliest delivery time: 0.82, latest delivery time: 0.99, delivery time: 0.16]
[no:47, pickup point: 21, delivery point: 69, distance: 2.951, earliest pickup time: 0.22, latest pick time: 0.42, pickup time: 0.19, earliest delivery time: 1.4, latest delivery time: 1.51, delivery time: 0.18]
[no:48, pickup point: 17, delivery point: 40, distance: 6.319, earliest pickup time: 0.22, latest pick time: 0.43, pickup time: 0.16, earliest delivery time: 2.28, latest delivery time: 2.5, delivery time: 0.19]
[no:49, pickup point: 19, delivery point: 94, distance: 8.536, earliest pickup time: 0.23, latest pick time: 0.38, pickup time: 0.15, earliest delivery time: 2.8, latest delivery time: 2.99, delivery time: 0.12]
[no:50, pickup point: 15, delivery point: 124, distance: 11.198, earliest pickup time: 0.23, latest pick time: 0.41, pickup time: 0.2, earliest delivery time: 3.59, latest delivery time: 3.72, delivery time: 0.18]
[no:51, pickup point: 12, delivery point: 52, distance: 2.679, earliest pickup time: 0.25, latest pick time: 0.36, pickup time: 0.14, earliest delivery time: 1.21, latest delivery time: 1.35, delivery time: 0.11]
[no:52, pickup point: 40, delivery point: 52, distance: 3.583, earliest pickup time: 0.25, latest pick time: 0.46, pickup time: 0.14, earliest delivery time: 1.55, latest delivery time: 1.79, delivery time: 0.11]
[no:53, pickup point: 32, delivery point: 96, distance: 6.937, earliest pickup time: 0.25, latest pick time: 0.48, pickup time: 0.16, earliest delivery time: 2.49, latest delivery time: 2.63, delivery time: 0.11]
[no:54, pickup point: 2, delivery point: 54, distance: 8.967, earliest pickup time: 0.26, latest pick time: 0.39, pickup time: 0.13, earliest delivery time: 2.91, latest delivery time: 3.03, delivery time: 0.16]
[no:55, pickup point: 2, delivery point: 81, distance: 4.907, earliest pickup time: 0.26, latest pick time: 0.45, pickup time: 0.13, earliest delivery time: 1.89, latest delivery time: 2.02, delivery time: 0.19]
[no:56, pickup point: 29, delivery point: 117, distance: 1.918, earliest pickup time: 0.28, latest pick time: 0.43, pickup time: 0.1, earliest delivery time: 1.04, latest delivery time: 1.22, delivery time: 0.17]
[no:57, pickup point: 21, delivery point: 102, distance: 3.665, earliest pickup time: 0.29, latest pick time: 0.43, pickup time: 0.13, earliest delivery time: 1.54, latest delivery time: 1.73, delivery time: 0.17]
[no:58, pickup point: 10, delivery point: 67, distance: 6.81, earliest pickup time: 0.29, latest pick time: 0.51, pickup time: 0.11, earliest delivery time: 2.43, latest delivery time: 2.55, delivery time: 0.15]
[no:59, pickup point: 19, delivery point: 50, distance: 5.231, earliest pickup time: 0.3, latest pick time: 0.49, pickup time: 0.1, earliest delivery time: 1.98, latest delivery time: 2.23, delivery time: 0.14]
[no:60, pickup point: 28, delivery point: 50, distance: 6.557, earliest pickup time: 0.3, latest pick time: 0.53, pickup time: 0.16, earliest delivery time: 2.45, latest delivery time: 2.61, delivery time: 0.2]
[no:61, pickup point: 5, delivery point: 86, distance: 2.015, earliest pickup time: 0.31, latest pick time: 0.41, pickup time: 0.11, earliest delivery time: 1.06, latest delivery time: 1.16, delivery time: 0.13]
[no:62, pickup point: 29, delivery point: 66, distance: 5.276, earliest pickup time: 0.31, latest pick time: 0.51, pickup time: 0.11, earliest delivery time: 2.03, latest delivery time: 2.23, delivery time: 0.15]
[no:63, pickup point: 23, delivery point: 73, distance: 7.814, earliest pickup time: 0.31, latest pick time: 0.51, pickup time: 0.16, earliest delivery time: 2.75, latest delivery time: 2.98, delivery time: 0.15]
[no:64, pickup point: 40, delivery point: 68, distance: 7.969, earliest pickup time: 0.32, latest pick time: 0.45, pickup time: 0.18, earliest delivery time: 2.76, latest delivery time: 3.01, delivery time: 0.17]
[no:65, pickup point: 2, delivery point: 131, distance: 9.775, earliest pickup time: 0.32, latest pick time: 0.56, pickup time: 0.12, earliest delivery time: 3.28, latest delivery time: 3.52, delivery time: 0.11]
[no:66, pickup point: 21, delivery point: 40, distance: 1.688, earliest pickup time: 0.33, latest pick time: 0.5, pickup time: 0.16, earliest delivery time: 1.11, latest delivery time: 1.32, delivery time: 0.15]
[no:67, pickup point: 9, delivery point: 43, distance: 5.256, earliest pickup time: 0.33, latest pick time: 0.5, pickup time: 0.11, earliest delivery time: 2.01, latest delivery time: 2.14, delivery time: 0.12]
[no:68, pickup point: 3, delivery point: 59, distance: 3.904, earliest pickup time: 0.33, latest pick time: 0.55, pickup time: 0.11, earliest delivery time: 1.7, latest delivery time: 1.92, delivery time: 0.18]
[no:69, pickup point: 34, delivery point: 138, distance: 3.373, earliest pickup time: 0.34, latest pick time: 0.52, pickup time: 0.13, earliest delivery time: 1.55, latest delivery time: 1.69, delivery time: 0.13]
[no:70, pickup point: 30, delivery point: 126, distance: 6.707, earliest pickup time: 0.35, latest pick time: 0.59, pickup time: 0.2, earliest delivery time: 2.58, latest delivery time: 2.78, delivery time: 0.13]
[no:71, pickup point: 24, delivery point: 101, distance: 4.584, earliest pickup time: 0.36, latest pick time: 0.49, pickup time: 0.19, earliest delivery time: 1.89, latest delivery time: 2.02, delivery time: 0.19]
[no:72, pickup point: 23, delivery point: 46, distance: 8.517, earliest pickup time: 0.36, latest pick time: 0.51, pickup time: 0.16, earliest delivery time: 2.94, latest delivery time: 3.18, delivery time: 0.13]
[no:73, pickup point: 26, delivery point: 48, distance: 10.271, earliest pickup time: 0.38, latest pick time: 0.51, pickup time: 0.19, earliest delivery time: 3.44, latest delivery time: 3.58, delivery time: 0.17]
[no:74, pickup point: 14, delivery point: 104, distance: 3.887, earliest pickup time: 0.38, latest pick time: 0.59, pickup time: 0.18, earliest delivery time: 1.8, latest delivery time: 1.93, delivery time: 0.12]
[no:75, pickup point: 25, delivery point: 56, distance: 2.2, earliest pickup time: 0.39, latest pick time: 0.53, pickup time: 0.15, earliest delivery time: 1.26, latest delivery time: 1.38, delivery time: 0.12]
[no:76, pickup point: 40, delivery point: 55, distance: 4.584, earliest pickup time: 0.39, latest pick time: 0.62, pickup time: 0.1, earliest delivery time: 1.94, latest delivery time: 2.06, delivery time: 0.13]
[no:77, pickup point: 39, delivery point: 68, distance: 2.13, earliest pickup time: 0.4, latest pick time: 0.52, pickup time: 0.15, earliest delivery time: 1.24, latest delivery time: 1.44, delivery time: 0.11]
[no:78, pickup point: 18, delivery point: 131, distance: 1.604, earliest pickup time: 0.4, latest pick time: 0.57, pickup time: 0.14, earliest delivery time: 1.14, latest delivery time: 1.27, delivery time: 0.17]
[no:79, pickup point: 13, delivery point: 116, distance: 5.314, earliest pickup time: 0.42, latest pick time: 0.55, pickup time: 0.16, earliest delivery time: 2.13, latest delivery time: 2.3, delivery time: 0.15]
[no:80, pickup point: 2, delivery point: 114, distance: 7.255, earliest pickup time: 0.43, latest pick time: 0.63, pickup time: 0.13, earliest delivery time: 2.7, latest delivery time: 2.84, delivery time: 0.19]
[no:81, pickup point: 38, delivery point: 65, distance: 5.134, earliest pickup time: 0.44, latest pick time: 0.56, pickup time: 0.18, earliest delivery time: 2.11, latest delivery time: 2.35, delivery time: 0.19]
[no:82, pickup point: 27, delivery point: 92, distance: 7.262, earliest pickup time: 0.45, latest pick time: 0.63, pickup time: 0.13, earliest delivery time: 2.7, latest delivery time: 2.83, delivery time: 0.19]
[no:83, pickup point: 11, delivery point: 122, distance: 6.248, earliest pickup time: 0.46, latest pick time: 0.58, pickup time: 0.13, earliest delivery time: 2.37, latest delivery time: 2.55, delivery time: 0.17]
[no:84, pickup point: 17, delivery point: 53, distance: 6.074, earliest pickup time: 0.46, latest pick time: 0.66, pickup time: 0.12, earliest delivery time: 2.4, latest delivery time: 2.51, delivery time: 0.17]
[no:85, pickup point: 39, delivery point: 41, distance: 5.656, earliest pickup time: 0.47, latest pick time: 0.6, pickup time: 0.16, earliest delivery time: 2.26, latest delivery time: 2.39, delivery time: 0.14]
[no:86, pickup point: 2, delivery point: 89, distance: 8.715, earliest pickup time: 0.47, latest pick time: 0.63, pickup time: 0.2, earliest delivery time: 3.15, latest delivery time: 3.31, delivery time: 0.11]
[no:87, pickup point: 13, delivery point: 54, distance: 3.339, earliest pickup time: 0.47, latest pick time: 0.69, pickup time: 0.12, earliest delivery time: 1.7, latest delivery time: 1.92, delivery time: 0.16]
[no:88, pickup point: 3, delivery point: 127, distance: 4.007, earliest pickup time: 0.48, latest pick time: 0.58, pickup time: 0.2, earliest delivery time: 1.85, latest delivery time: 2.0, delivery time: 0.12]
[no:89, pickup point: 25, delivery point: 117, distance: 6.053, earliest pickup time: 0.48, latest pick time: 0.63, pickup time: 0.18, earliest delivery time: 2.42, latest delivery time: 2.62, delivery time: 0.14]
[no:90, pickup point: 33, delivery point: 127, distance: 5.795, earliest pickup time: 0.48, latest pick time: 0.63, pickup time: 0.17, earliest delivery time: 2.35, latest delivery time: 2.54, delivery time: 0.12]
[no:91, pickup point: 14, delivery point: 134, distance: 4.816, earliest pickup time: 0.48, latest pick time: 0.71, pickup time: 0.15, earliest delivery time: 2.15, latest delivery time: 2.29, delivery time: 0.15]
[no:92, pickup point: 12, delivery point: 88, distance: 7.837, earliest pickup time: 0.48, latest pick time: 0.72, pickup time: 0.13, earliest delivery time: 2.93, latest delivery time: 3.05, delivery time: 0.18]
[no:93, pickup point: 6, delivery point: 87, distance: 3.072, earliest pickup time: 0.5, latest pick time: 0.62, pickup time: 0.18, earliest delivery time: 1.62, latest delivery time: 1.74, delivery time: 0.19]
[no:94, pickup point: 19, delivery point: 116, distance: 4.282, earliest pickup time: 0.5, latest pick time: 0.73, pickup time: 0.17, earliest delivery time: 2.04, latest delivery time: 2.29, delivery time: 0.18]
[no:95, pickup point: 34, delivery point: 106, distance: 2.339, earliest pickup time: 0.5, latest pick time: 0.73, pickup time: 0.16, earliest delivery time: 1.51, latest delivery time: 1.67, delivery time: 0.2]
[no:96, pickup point: 34, delivery point: 126, distance: 5.484, earliest pickup time: 0.51, latest pick time: 0.75, pickup time: 0.16, earliest delivery time: 2.38, latest delivery time: 2.58, delivery time: 0.18]
[no:97, pickup point: 36, delivery point: 63, distance: 5.272, earliest pickup time: 0.53, latest pick time: 0.71, pickup time: 0.11, earliest delivery time: 2.23, latest delivery time: 2.39, delivery time: 0.16]
[no:98, pickup point: 16, delivery point: 138, distance: 7.294, earliest pickup time: 0.53, latest pick time: 0.72, pickup time: 0.17, earliest delivery time: 2.83, latest delivery time: 3.02, delivery time: 0.19]
[no:99, pickup point: 4, delivery point: 133, distance: 4.765, earliest pickup time: 0.54, latest pick time: 0.7, pickup time: 0.18, earliest delivery time: 2.15, latest delivery time: 2.34, delivery time: 0.12]
[no:100, pickup point: 6, delivery point: 95, distance: 4.163, earliest pickup time: 0.54, latest pick time: 0.71, pickup time: 0.19, earliest delivery time: 2.02, latest delivery time: 2.25, delivery time: 0.11]
[no:101, pickup point: 2, delivery point: 118, distance: 6.56, earliest pickup time: 0.54, latest pick time: 0.75, pickup time: 0.16, earliest delivery time: 2.67, latest delivery time: 2.82, delivery time: 0.15]
[no:102, pickup point: 3, delivery point: 50, distance: 3.214, earliest pickup time: 0.55, latest pick time: 0.65, pickup time: 0.12, earliest delivery time: 1.63, latest delivery time: 1.77, delivery time: 0.19]
[no:103, pickup point: 15, delivery point: 77, distance: 12.013, earliest pickup time: 0.55, latest pick time: 0.79, pickup time: 0.17, earliest delivery time: 4.17, latest delivery time: 4.39, delivery time: 0.17]
[no:104, pickup point: 3, delivery point: 69, distance: 5.001, earliest pickup time: 0.56, latest pick time: 0.72, pickup time: 0.17, earliest delivery time: 2.23, latest delivery time: 2.44, delivery time: 0.18]
[no:105, pickup point: 38, delivery point: 104, distance: 1.031, earliest pickup time: 0.56, latest pick time: 0.74, pickup time: 0.16, earliest delivery time: 1.18, latest delivery time: 1.28, delivery time: 0.14]
[no:106, pickup point: 17, delivery point: 50, distance: 9.26, earliest pickup time: 0.56, latest pick time: 0.76, pickup time: 0.12, earliest delivery time: 3.36, latest delivery time: 3.48, delivery time: 0.12]
[no:107, pickup point: 26, delivery point: 116, distance: 1.633, earliest pickup time: 0.56, latest pick time: 0.76, pickup time: 0.16, earliest delivery time: 1.36, latest delivery time: 1.58, delivery time: 0.13]
[no:108, pickup point: 16, delivery point: 135, distance: 6.47, earliest pickup time: 0.56, latest pick time: 0.77, pickup time: 0.17, earliest delivery time: 2.67, latest delivery time: 2.83, delivery time: 0.15]
[no:109, pickup point: 37, delivery point: 114, distance: 2.912, earliest pickup time: 0.56, latest pick time: 0.8, pickup time: 0.13, earliest delivery time: 1.71, latest delivery time: 1.95, delivery time: 0.12]
[no:110, pickup point: 21, delivery point: 76, distance: 4.687, earliest pickup time: 0.56, latest pick time: 0.8, pickup time: 0.1, earliest delivery time: 2.15, latest delivery time: 2.32, delivery time: 0.17]
[no:111, pickup point: 39, delivery point: 101, distance: 3.381, earliest pickup time: 0.59, latest pick time: 0.79, pickup time: 0.14, earliest delivery time: 1.83, latest delivery time: 1.93, delivery time: 0.18]
[no:112, pickup point: 33, delivery point: 86, distance: 7.983, earliest pickup time: 0.59, latest pick time: 0.81, pickup time: 0.19, earliest delivery time: 3.13, latest delivery time: 3.25, delivery time: 0.14]
[no:113, pickup point: 14, delivery point: 75, distance: 3.313, earliest pickup time: 0.6, latest pick time: 0.71, pickup time: 0.15, earliest delivery time: 1.75, latest delivery time: 1.92, delivery time: 0.18]
[no:114, pickup point: 31, delivery point: 101, distance: 3.909, earliest pickup time: 0.6, latest pick time: 0.72, pickup time: 0.13, earliest delivery time: 1.9, latest delivery time: 2.02, delivery time: 0.16]
[no:115, pickup point: 5, delivery point: 73, distance: 6.94, earliest pickup time: 0.6, latest pick time: 0.74, pickup time: 0.17, earliest delivery time: 2.76, latest delivery time: 2.88, delivery time: 0.18]
[no:116, pickup point: 31, delivery point: 66, distance: 1.711, earliest pickup time: 0.6, latest pick time: 0.74, pickup time: 0.12, earliest delivery time: 1.32, latest delivery time: 1.49, delivery time: 0.17]
[no:117, pickup point: 35, delivery point: 90, distance: 6.942, earliest pickup time: 0.6, latest pick time: 0.8, pickup time: 0.1, earliest delivery time: 2.76, latest delivery time: 3.0, delivery time: 0.2]
[no:118, pickup point: 18, delivery point: 62, distance: 6.45, earliest pickup time: 0.61, latest pick time: 0.73, pickup time: 0.11, earliest delivery time: 2.56, latest delivery time: 2.67, delivery time: 0.12]
[no:119, pickup point: 19, delivery point: 134, distance: 5.262, earliest pickup time: 0.61, latest pick time: 0.78, pickup time: 0.14, earliest delivery time: 2.32, latest delivery time: 2.47, delivery time: 0.13]
[no:120, pickup point: 19, delivery point: 123, distance: 8.647, earliest pickup time: 0.61, latest pick time: 0.79, pickup time: 0.19, earliest delivery time: 3.28, latest delivery time: 3.5, delivery time: 0.17]
[no:121, pickup point: 34, delivery point: 108, distance: 1.504, earliest pickup time: 0.61, latest pick time: 0.79, pickup time: 0.11, earliest delivery time: 1.3, latest delivery time: 1.4, delivery time: 0.14]
